1,The Saint Louis Brewery,7260 Southwest Ave.,63143
2,Alpha,4310 Fyler Ave,63116
3,Modern Brewery Co.,5231 Manchester ave. ,63110
4,Urban Chestnut,4465 Manchester Ave,63110
5,2nd Shift Brewing,1601 Sublette Ave.,63110
6,Civil Life,3714 Holt Ave,63116
7,Earthbound Beer,2724 Cherokee St.,63118
8,Exit & Brewery,5055 State Highway Nÿ,63304
9,Greer Brewing Co.,16050 Manchester Rd. ,63011
10,Heavy Riff Brewery,6413 Clayton Ave,63139
11,Kirkwood Station Brewing Company,105 E Jefferson Ave.,63122
12,Mackenzie Brewing Co.,932 Meramec Station Road,63088
13,Mark Twain Brewing Co.,422 N Main S,63401
14,Narrow Gauge Brewing Co.,1595 US-67,63031
15,Public House Brewing Co. ,600 North Rolla Street,65401
16,Six Mile Bridge Beer,11841 Dorsett Rd,63043
17,Third Wheel Brewing,4008 I-70 North Outer Rd,63376
18,Trailhead Brewing Co.,921 S Riverside Dr,63301
19,Two Plumbers Brewery + Arcade,2236 1st Capitol Dr,63301
20,Wellbeing Brewing Co.,45 Progress Pkwy,63043
21,William K Busch Brewing Co,8047 Litzsinger Rd,63144
22,Morgan Street Brewery,721 N 2nd St,63102
23,Square One Brewery & Distillery,1727 Park Ave,63104
24,Perennial Artisan Ales,8125 Michigan Ave,63111
25,Ferguson Brewing Co.,418 S Florissant Rd,63135
26,Center Ice Brewery,3126 Olive St,63103
27,Charleville Brewing Co.,2101 Chouteau Ave,63103
28,Side Project,7458 Manchester Rd.,63143
29,Steampunk Brew Works,231 Lamp and Lantern Village,63017
30,4 Hands Brewing Co,1220 S 8th St,63104
31,Augusta Brew Haus,5521 Water St,63332
32,Griesedieck Brothers Brewery,P.O. Box 31203,63131
33,Good News Brewing Co,330 Sonderen St.,63366
34,O'Fallon Brewery,45 Progress Pkwy,63043
35,Cathedral Square Brewery,10070 Gravios Ave,63123
36,The BeerHouse,777 River City Casino Blvd,63125
37,Missouri Beer Company,22 West Industrial Dr,63366
38,Friendship Brewing Co,100 E Pitman Ave,63385
39,Bastard Brothers Brewing ,2114 Penta Driveÿ,63049
40,4204 Main St. Brewing Co,4204 W. Main St,62002
41,Hofbrauhaus,123 St. Eugene Dr,62223
42,Hopskeller Brewing Co,116 E 3rd St,62298
43,Main & Mill Brewing Co,240 East Main St,63028
